12346,0
12347,2458
12348,2341
12349,631
12350,197
12352,470
12353,20
12354,530
12355,240
12356,1591
12357,2708
12358,248
12359,1612
12360,1165
12361,91
12362,2212
12363,408
12364,1506
12365,173
12367,173
12370,2353
12371,591
12372,794
12373,197
12374,342
12375,177
12377,944
12378,2529
12379,406
12380,1126
12381,783
12383,1529
12384,121
12386,354
12388,1462
12390,353
12391,300
12393,816
12394,819
12395,2113
12397,1263
12398,1394
12399,1178
12401,11
12402,94
12403,95
12405,857
12406,1809
12407,1416
12408,1399
12409,5543
12410,209
12412,829
12413,282
12414,300
12415,77242
12417,1539
12418,407
12420,345
12421,483
12422,370
12423,1327
12424,740
12425,496
12426,258
12427,236
12428,3503
12429,1557
12430,117
12431,2868
12432,1801
12433,11071
12434,373
12435,2055
12436,211
12437,2918
12438,1180
12441,121
12442,182
12444,1155
12445,62
12446,352
12447,190
12448,243
12449,1553
12450,128
12451,6455
12452,183
12453,473
12454,0
12455,2089
12456,1616
12457,695
12458,506
12461,287
12462,514
12463,757
12464,112
12465,475
12468,364
12471,7965
12472,4020
12473,2363
12474,4764
12475,535
12476,2337
12477,3620
12478,236
12479,351
12480,1707
12481,3290
12483,1097
12484,2185
12488,529
12489,105
12490,3064
12491,260
12492,192
12493,206
12494,690
12497,1236
12498,159
12500,2671
12501,1722
12502,820
12503,-1
12504,51
12505,-1
12506,23
12507,894
12508,272
12509,55
12510,353
12512,99
12513,456
12514,440
12515,131
12516,875
12517,1348
12518,1318
12519,183
12520,1430
12521,309
12522,194
12523,861
12524,3699
12526,632
12527,234
12528,750
12530,900
12531,45
12532,153
12534,651
12535,219
12536,2652
12538,191
12539,2066
12540,6677
12541,680
12544,132
12545,523
12546,617
12547,134
12548,49
12550,569
12551,100
12552,88
12553,1924
12556,358
12557,4384
12558,0
12559,281
12560,1078
12561,177
12562,1779
12564,133
12565,75
12566,264
12567,4089
12569,1793
12571,523
12572,450
12573,84
12574,61
12576,964
12577,466
12578,1171
12579,278
12580,238
12581,161
12582,300
12583,5009
12584,354
12585,1258
12586,77
12587,51
12588,53
12589,306
12590,4279
12591,228
12592,290
12593,206
12594,1776
12596,474
12597,2187
12598,1940
12599,956
12600,773
12601,244
12602,162
12603,64
12604,201
12605,-4
12607,0
12609,648
12610,1028
12611,846
12612,251
12613,1596
12614,76
12615,1376
12616,273
12617,213
12618,96
12619,3354
12620,1181
12621,7404
12622,69
12623,191
12624,355
12625,1577
12626,3350
12627,2752
12628,445
12630,548
12631,236
12633,1149
12635,1172
12637,2990
12638,577
12639,201
12640,311
12641,72
12642,552
12643,1808
12644,325
12645,1072
12646,897
12647,1420
12648,160
12649,574
12650,254
12651,78
12652,502
12653,919
12654,264
12656,1708
12657,654
12658,320
12659,105
12660,127
12662,2040
12664,1202
12665,36
12666,-56
12667,395
12668,1595
12669,1114
12670,1391
12672,78
12673,351
12674,1102
12676,670
12678,10899
12679,530
12680,443
12681,7518
12682,5575
12683,4903
12684,1985
12685,1523
12686,107
12688,3028
12689,628
12690,106
12691,394
12693,250
12694,509
12695,220
12697,499
12700,2963
12701,678
12702,53
12703,161
12704,1003
12705,3973
12707,256
12708,1270
12709,3832
12710,849
12712,1044
12713,508
12714,3069
12715,197
12716,708
12717,505
12718,203
12719,361
12720,4654
12721,1954
12722,560
12723,434
12724,445
12725,164
12726,3143
12727,2085
12728,419
12729,233
12731,8366
12732,111
12733,137
12734,88
12735,368
12736,173
12738,148
12739,486
12740,342
12743,319
12744,5234
12747,1275
12748,24210
12749,1422
12750,137
12752,2262
12753,11250
12754,6479
12755,866
12756,144
12757,2385
12758,2135
12759,902
12762,1227
12763,316
12764,386
12766,3646
12769,356
12770,743
12772,556
12775,853
12778,824
12779,1996
12781,592
12782,1070
12783,622
12784,300
12785,128
12787,261
12789,4
12790,166
12791,97
12792,217
12793,295
12794,592
12795,68
12797,79
12798,5256
12802,302
12808,188
12809,219
12811,230
12812,164
12814,49
12815,379
12816,128
12817,53
12818,923
12820,722
12821,70
12822,548
12823,230
12824,232
12826,1054
12827,197
12828,494
12829,375
12830,9847
12831,135
12832,195
12833,156
12834,110
12836,1064
12837,24
12838,359
12839,3804
12840,1505
12841,2683
12842,547
12843,753
12844,125
12845,204
12847,909
12849,623
12851,109
12852,145
12853,782
12854,622
12855,30
12856,1076
12857,343
12863,186
12864,216
12865,877
12866,171
12867,4274
12868,928
12870,-2
12871,200
12872,319
12873,128
12875,2019
12876,1941
12877,1178
12878,536
12879,363
12881,21
12882,246
12883,196
12884,43
12885,654
12886,761
12888,68
12890,259
12891,950
12893,96
12895,204
12897,110
12901,20915
12902,66
12904,302
12906,1749
12908,0
12909,1270
12910,1692
12912,670
12913,1419
12915,93
12916,1111
12917,120
12919,668
12920,129
12921,9454
12922,370
12923,69
12924,480
12925,541
12928,1472
12929,36
12930,250
12931,23377
12933,498
12935,1852
12936,539
12937,1007
12938,140
12939,4876
12940,406
12942,203
12943,-1
12944,289
12945,165
12947,1157
12948,1077
12949,2363
12950,1380
12951,500
12952,652
12953,84
12955,3642
12956,34
12957,2531
12962,129
12963,873
12965,283
12966,75
12967,243
12968,73
12970,310
12971,9203
12974,24
12976,561
12977,12
12980,864
12981,242
12982,278
12984,26
12985,1413
12987,217
12988,136
